texto,categoria_general,intent_1,intent_2,intent_3,intent_4
"hola, ¿puedes decirme tu nombre?",personal,datos,nombre,,personal_datos_nombre
¿Cuál es tu nombre de pila?,personal,datos,nombre,,personal_datos_nombre
¿Cuál es su nombre?,personal,datos,nombre,,personal_datos_nombre
¿Cómo te llamas?,personal,datos,nombre,,personal_datos_nombre
tu nombre es ?,personal,datos,nombre,,personal_datos_nombre
¿Cómo te llamas?,personal,datos,nombre,,personal_datos_nombre
¿Cómo te llamas?,personal,datos,nombre,,personal_datos_nombre
¿cuál es tu nombre?,personal,datos,nombre,,personal_datos_nombre
¿Cuál es su nombre?,personal,datos,nombre,,personal_datos_nombre
¿puede decirme su nombre?,personal,datos,nombre,,personal_datos_nombre
buenos días señora ¿cómo se llama?,personal,datos,nombre,,personal_datos_nombre
¿Cuál es tu nombre?,personal,datos,nombre,,personal_datos_nombre
¿Cuál es tu nombre de pila?,personal,datos,nombre,,personal_datos_nombre
¿cuál es tu nombre?,personal,datos,nombre,,personal_datos_nombre
simone?,personal,datos,nombre,,personal_datos_nombre
¿Cuál es su nombre y apellido?,personal,datos,nombre,,personal_datos_nombre
¿Cuál es tu nombre? ¿Tryphon Sunflower?,personal,datos,nombre,,personal_datos_nombre
¿Cuánto deporte haces durante la semana?,personal,deporte,cantidad,,personal_deporte_cantidad
¿Cuánto deporte haces durante la semana?,personal,deporte,cantidad,,personal_deporte_cantidad
¿nadas mucho?,personal,deporte,cantidad,,personal_deporte_cantidad
¿has estado nadando recientemente?,personal,deporte,cuando,,personal_deporte_cuando
¿has estado nadando recientemente?,personal,deporte,cuando,,personal_deporte_cuando
¿has estado nadando recientemente?,personal,deporte,cuando,,personal_deporte_cuando
¿haces algún deporte?,personal,deporte,describir,,personal_deporte_describir
¿haces algún deporte?,personal,deporte,describir,,personal_deporte_describir
¿haces algún deporte?,personal,deporte,describir,,personal_deporte_describir
¿ya practica algún deporte?,personal,deporte,describir,,personal_deporte_describir
¿Has participado alguna vez en una competición deportiva?,personal,deporte,describir,,personal_deporte_describir
¿haces algún deporte?,personal,deporte,describir,,personal_deporte_describir
¿haces algún deporte?,personal,deporte,describir,,personal_deporte_describir
¿Realiza a menudo actividades físicas?,personal,deporte,frecuencia,,personal_deporte_frecuencia
¿Realiza a menudo actividades físicas?,personal,deporte,frecuencia,,personal_deporte_frecuencia
¿corre regularmente?,personal,deporte,frecuencia,,personal_deporte_frecuencia
¿montas en bicicleta?,personal,deporte,si_o_no,,personal_deporte_si_o_no
¿juega usted al tenis?,personal,deporte,si_o_no,,personal_deporte_si_o_no
¿eres atlético?,personal,deporte,si_o_no,,personal_deporte_si_o_no
¿haces deporte?,personal,deporte,si_o_no,,personal_deporte_si_o_no
¿sueles ir a correr?,personal,deporte,si_o_no,,personal_deporte_si_o_no
¿Es usted físicamente activo en el trabajo?,personal,deporte,si_o_no,,personal_deporte_si_o_no
¿Es usted físicamente activo?,personal,deporte,si_o_no,,personal_deporte_si_o_no
¿juegas al baloncesto?,personal,deporte,si_o_no,,personal_deporte_si_o_no
¿comes mucho?,personal,dieta,cantidad,,personal_dieta_cantidad
¿comes mucho?,personal,dieta,cantidad,,personal_dieta_cantidad
¿comes mucho?,personal,dieta,cantidad,,personal_dieta_cantidad
¿acabas de comer?,personal,dieta,cuando,,personal_dieta_cuando
¿acabas de comer?,personal,dieta,cuando,,personal_dieta_cuando
¿acabas de comer?,personal,dieta,cuando,,personal_dieta_cuando
en qué consiste su dieta,personal,dieta,describir,,personal_dieta_describir
"describa sus tres comidas habituales (desayuno, comida y cena)",personal,dieta,describir,,personal_dieta_describir
¿Qué has comido?,personal,dieta,describir,,personal_dieta_describir
muy bien y ¿qué pasa con tu dieta?,personal,dieta,describir,,personal_dieta_describir
cuál es su consumo de patatas,personal,dieta,describir,,personal_dieta_describir
dieta,personal,dieta,describir,,personal_dieta_describir
¿Cuál es su dieta?,personal,dieta,describir,,personal_dieta_describir
¿Cuáles son sus hábitos alimenticios?,personal,dieta,describir,,personal_dieta_describir
¿Cuál es su consumo de aditivos alimentarios?,personal,dieta,describir,,personal_dieta_describir
cuánto tiempo lleva consumiendo nutrientes,personal,dieta,duracion,,personal_dieta_duracion
cuánto tiempo lleva consumiendo nutrientes,personal,dieta,duracion,,personal_dieta_duracion
cuánto tiempo lleva consumiendo nutrientes,personal,dieta,duracion,,personal_dieta_duracion
¿Comes a menudo chocolate?,personal,dieta,frecuencia,,personal_dieta_frecuencia
¿Comes a menudo chocolate?,personal,dieta,frecuencia,,personal_dieta_frecuencia
¿Comes a menudo chocolate?,personal,dieta,frecuencia,,personal_dieta_frecuencia
"ok ¿has comido algo especial, no como de costumbre?",personal,dieta,otros,,personal_dieta_otros
"ok ¿has comido algo especial, no como de costumbre?",personal,dieta,otros,,personal_dieta_otros
"ok ¿has comido algo especial, no como de costumbre?",personal,dieta,otros,,personal_dieta_otros
es su dieta rica,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿bebes zumo de frutas?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿llevas una dieta equilibrada?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿comes alguna vez berenjena?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿tienes una dieta equilibrada?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿crees que has comido algo en mal estado?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿comes muchas judías?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿estás a dieta?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿tienes una dieta?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿Comes muchos embutidos?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿comes uvas?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿comes pan?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿tiene su dieta un alto contenido en grasas?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿tiene su dieta un alto contenido en grasas?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿está usted en una dieta sin sal?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿comes merluza?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿Comes kiwi?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿llevas una dieta saludable?,personal,dieta,si_o_no,,personal_dieta_si_o_no
¿bebes mucha agua?,personal,dieta,si_o_no,,personal_dieta_si_o_no
"¿tienes muchos amigos, pocos amigos íntimos o ninguno?",personal,entorno,describir,,personal_entorno_describir
cuál es su situación familiar,personal,entorno,describir,,personal_entorno_describir
¿Cuál es su situación familiar?,personal,entorno,describir,,personal_entorno_describir
¿Cuántos hijos tiene?,personal,entorno,hijos,describir,personal_entorno_hijos_describir
¿cuántos hijos tiene?,personal,entorno,hijos,describir,personal_entorno_hijos_describir
¿qué edad tienen sus hijos?,personal,entorno,hijos,edad,personal_entorno_hijos_edad
¿Tiene hijos?,personal,entorno,hijos,edad,personal_entorno_hijos_edad
BIEN. ¿Y cuándo tuvo su último hijo?,personal,entorno,hijos,edad,personal_entorno_hijos_edad
¿cuál es el nombre de su hijo de 12 años?,personal,entorno,hijos,nombre,personal_entorno_hijos_nombre
¿cuál es el nombre de su hijo de 12 años?,personal,entorno,hijos,nombre,personal_entorno_hijos_nombre
¿cuál es el nombre de su hijo de 12 años?,personal,entorno,hijos,nombre,personal_entorno_hijos_nombre
¿están en la escuela?,personal,entorno,hijos,otros,personal_entorno_hijos_otros
¿están en la escuela?,personal,entorno,hijos,otros,personal_entorno_hijos_otros
¿están en la escuela?,personal,entorno,hijos,otros,personal_entorno_hijos_otros
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
"Por cierto, ¿tienes hijos?",personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿Son sus hijos varones?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene hijos?,personal,entorno,hijos,si_o_no,personal_entorno_hijos_si_o_no
¿tiene usted mascotas en casa?,personal,entorno,mascota,si_o_no,personal_entorno_mascota_si_o_no
¿alguna mascota?,personal,entorno,mascota,si_o_no,personal_entorno_mascota_si_o_no
¿alguna mascota?,personal,entorno,mascota,si_o_no,personal_entorno_mascota_si_o_no
cuántas personas viven contigo,personal,entorno,otros,describir,personal_entorno_otros_describir
cuántas personas viven contigo,personal,entorno,otros,describir,personal_entorno_otros_describir
cuántas personas viven contigo,personal,entorno,otros,describir,personal_entorno_otros_describir
¿todavía viven tus abuelos?,personal,entorno,otros,si_o_no,personal_entorno_otros_si_o_no
¿todavía viven tus abuelos?,personal,entorno,otros,si_o_no,personal_entorno_otros_si_o_no
¿fuiste adoptado?,personal,entorno,otros,si_o_no,personal_entorno_otros_si_o_no
¿todavía viven tus abuelos?,personal,entorno,otros,si_o_no,personal_entorno_otros_si_o_no
¿fuiste adoptado?,personal,entorno,otros,si_o_no,personal_entorno_otros_si_o_no
¿fuiste adoptado?,personal,entorno,otros,si_o_no,personal_entorno_otros_si_o_no
¿fuiste adoptado?,personal,entorno,otros,si_o_no,personal_entorno_otros_si_o_no
¿Siguen vivos tus padres?,personal,entorno,padres,si_o_no,personal_entorno_padres_si_o_no
¿Están vivos tus padres?,personal,entorno,padres,si_o_no,personal_entorno_padres_si_o_no
¿Están vivos tus padres?,personal,entorno,padres,si_o_no,personal_entorno_padres_si_o_no
cómo se llama su marido,personal,entorno,pareja,nombre,personal_entorno_pareja_nombre
cómo se llama su marido,personal,entorno,pareja,nombre,personal_entorno_pareja_nombre
cómo se llama su marido,personal,entorno,pareja,nombre,personal_entorno_pareja_nombre
¿cómo te va con tu pareja?,personal,entorno,pareja,otros,personal_entorno_pareja_otros
¿cómo te va con tu pareja?,personal,entorno,pareja,otros,personal_entorno_pareja_otros
¿estás casado?,personal,entorno,pareja,si_o_no,personal_entorno_pareja_si_o_no
¿estás casado?,personal,entorno,pareja,si_o_no,personal_entorno_pareja_si_o_no
estás soltero,personal,entorno,pareja,si_o_no,personal_entorno_pareja_si_o_no
¿estás casado?,personal,entorno,pareja,si_o_no,personal_entorno_pareja_si_o_no
¿estás casado?,personal,entorno,pareja,si_o_no,personal_entorno_pareja_si_o_no
¿estás casado?,personal,entorno,pareja,si_o_no,personal_entorno_pareja_si_o_no
¿estás casado?,personal,entorno,pareja,si_o_no,personal_entorno_pareja_si_o_no
¿Cuánto mide usted?,personal,fisico,altura,,personal_fisico_altura
¿Cuál es su altura?,personal,fisico,altura,,personal_fisico_altura
y su altura?,personal,fisico,altura,,personal_fisico_altura
¿Cuánto mide usted?,personal,fisico,altura,,personal_fisico_altura
¿Cuánto mide usted?,personal,fisico,altura,,personal_fisico_altura
y su altura?,personal,fisico,altura,,personal_fisico_altura
altura,personal,fisico,altura,,personal_fisico_altura
¿Cuánto mide usted?,personal,fisico,altura,,personal_fisico_altura
¿Cuál es su altura?,personal,fisico,altura,,personal_fisico_altura
¿Cuál es su altura?,personal,fisico,altura,,personal_fisico_altura
y su altura?,personal,fisico,altura,,personal_fisico_altura
y su altura?,personal,fisico,altura,,personal_fisico_altura
¿ha perdido peso recientemente?,personal,fisico,peso,cambio,personal_fisico_peso_cambio
¿Pérdida de peso?,personal,fisico,peso,cambio,personal_fisico_peso_cambio
¿has perdido peso?,personal,fisico,peso,cambio,personal_fisico_peso_cambio
muy bueno ¿has perdido peso?,personal,fisico,peso,cambio,personal_fisico_peso_cambio
ha ganado peso,personal,fisico,peso,cambio,personal_fisico_peso_cambio
¿has perdido peso?,personal,fisico,peso,cambio,personal_fisico_peso_cambio
aumentó su peso,personal,fisico,peso,cambio,personal_fisico_peso_cambio
¿Ganancia de peso?,personal,fisico,peso,cambio,personal_fisico_peso_cambio
ha cambiado su peso,personal,fisico,peso,cambio,personal_fisico_peso_cambio
¿ha ganado peso últimamente?,personal,fisico,peso,cambio,personal_fisico_peso_cambio
